15:53:42.791613 ------------------------------------------------------------
15:53:42.791775 Client connecting to 10.0.1.24, UDP port 5001 with pid 130512
15:53:42.791860 Binding to local address 10.60.0.1
15:53:42.791890 Sending 200 byte datagrams, IPG target: 305.18 us (kalman adjust)
15:53:42.791921 UDP buffer size:  208 KByte (default)
15:53:42.791971 ------------------------------------------------------------
15:53:42.792002 [  3] local 10.60.0.1 port 49678 connected with 10.0.1.24 port 5001
15:53:42.792032 [ ID] Interval            Transfer     Bandwidth      Write/Err  PPS
15:53:43.129662 [  3] 0.3499-0.3549 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3476 pps
15:53:43.129693 [  3] 0.3549-0.3599 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3281 pps
15:53:43.129735 [  3] 0.3599-0.3649 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3301 pps
15:53:43.150638 [  3] 0.3649-0.3699 sec  3.52 KBytes  5.76 Mbits/sec  18/0     3573 pps
15:53:43.150773 [  3] 0.3699-0.3749 sec  3.12 KBytes  5.12 Mbits/sec  16/0     2818 pps
15:53:43.150819 [  3] 0.3749-0.3799 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3486 pps
15:53:43.150846 [  3] 0.3799-0.3849 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3296 pps
15:53:43.171022 [  3] 0.3849-0.3899 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3289 pps
15:53:43.171205 [  3] 0.3899-0.3949 sec  2.93 KBytes  4.80 Mbits/sec  15/0     3071 pps
15:53:43.171307 [  3] 0.3949-0.3999 sec  3.52 KBytes  5.76 Mbits/sec  18/0     3770 pps
15:53:43.171438 [  3] 0.3999-0.4049 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3242 pps
15:53:43.191811 [  3] 0.4049-0.4099 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3228 pps
15:53:43.191896 [  3] 0.4099-0.4149 sec  3.12 KBytes  5.12 Mbits/sec  16/0     2962 pps
15:53:43.191916 [  3] 0.4149-0.4199 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3565 pps
15:53:43.191928 [  3] 0.4199-0.4249 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3213 pps
15:53:43.213467 [  3] 0.4249-0.4299 sec  3.12 KBytes  5.12 Mbits/sec  16/0     2725 pps
15:53:43.213686 [  3] 0.4299-0.4349 sec  3.12 KBytes  5.12 Mbits/sec  16/0     4366 pps
15:53:43.213780 [  3] 0.4349-0.4399 sec  2.93 KBytes  4.80 Mbits/sec  15/0     2958 pps
15:53:43.213882 [  3] 0.4399-0.4449 sec  3.71 KBytes  6.08 Mbits/sec  19/0     3252 pps
15:53:43.233787 [  3] 0.4449-0.4499 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3718 pps
15:53:43.233908 [  3] 0.4499-0.4549 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3340 pps
15:53:43.233936 [  3] 0.4549-0.4599 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3252 pps
15:53:43.233957 [  3] 0.4599-0.4649 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3255 pps
15:53:43.254476 [  3] 0.4649-0.4699 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3134 pps
15:53:43.254620 [  3] 0.4699-0.4749 sec  2.73 KBytes  4.48 Mbits/sec  14/0     2868 pps
15:53:43.254654 [  3] 0.4749-0.4799 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3511 pps
15:53:43.254680 [  3] 0.4799-0.4849 sec  3.71 KBytes  6.08 Mbits/sec  19/0     3242 pps
15:53:43.275449 [  3] 0.4849-0.4899 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3702 pps
15:53:43.275627 [  3] 0.4899-0.4949 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3179 pps
15:53:43.275654 [  3] 0.4949-0.4999 sec  3.32 KBytes  5.44 Mbits/sec  17/0     1539 pps
15:53:43.275667 [  3] 0.4999-0.5049 sec  0.00 Bytes  0.00 bits/sec  0/0        0 pps
15:53:43.297022 [  3] 0.5049-0.5099 sec  1.56 KBytes  2.56 Mbits/sec  8/0     1740 pps
15:53:43.297104 [  3] 0.5099-0.5149 sec  3.71 KBytes  6.08 Mbits/sec  19/0     4523 pps
15:53:43.297116 [  3] 0.5149-0.5199 sec  3.71 KBytes  6.08 Mbits/sec  19/0     3255 pps
15:53:43.297124 [  3] 0.5199-0.5249 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3151 pps
15:53:43.297131 [  3] 0.5249-0.5299 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3864 pps
15:53:43.318017 [  3] 0.5299-0.5349 sec  2.93 KBytes  4.80 Mbits/sec  15/0     2933 pps
15:53:43.318122 [  3] 0.5349-0.5399 sec  2.93 KBytes  4.80 Mbits/sec  15/0     3070 pps
15:53:43.318145 [  3] 0.5399-0.5449 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3504 pps
15:53:43.318165 [  3] 0.5449-0.5499 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3149 pps
15:53:43.339440 [  3] 0.5499-0.5549 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3484 pps
15:53:43.339517 [  3] 0.5549-0.5599 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3470 pps
15:53:43.339538 [  3] 0.5599-0.5649 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3448 pps
15:53:43.339552 [  3] 0.5649-0.5699 sec  2.73 KBytes  4.48 Mbits/sec  14/0     2766 pps
15:53:43.339566 [  3] 0.5699-0.5749 sec  2.73 KBytes  4.48 Mbits/sec  14/0     2868 pps
15:53:43.360242 [  3] 0.5749-0.5799 sec  4.10 KBytes  6.72 Mbits/sec  21/0     4151 pps
15:53:43.360354 [  3] 0.5799-0.5849 sec  3.32 KBytes  5.44 Mbits/sec  17/0     2572 pps
15:53:43.360387 [  3] 0.5849-0.5899 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3186 pps
15:53:43.360407 [  3] 0.5899-0.5949 sec  2.93 KBytes  4.80 Mbits/sec  15/0     4496 pps
15:53:43.380223 [  3] 0.5949-0.5999 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3337 pps
15:53:43.380309 [  3] 0.5999-0.6049 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3285 pps
15:53:43.380321 [  3] 0.6049-0.6099 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3173 pps
15:53:43.400732 [  3] 0.6099-0.6149 sec  3.12 KBytes  5.12 Mbits/sec  16/0     2653 pps
15:53:43.400787 [  3] 0.6149-0.6199 sec  3.52 KBytes  5.76 Mbits/sec  18/0     4491 pps
15:53:43.400796 [  3] 0.6199-0.6249 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3033 pps
