16:35:16.681468 ------------------------------------------------------------
16:35:16.681574 Client connecting to 10.0.1.24, TCP port 5001 with pid 142514
16:35:16.681587 Binding to local address 10.60.0.1
16:35:16.681596 Write buffer size:  200 Byte
16:35:16.681604 TCP window size: 85.0 KByte (default)
16:35:16.681611 ------------------------------------------------------------
16:35:16.681619 [  3] local 10.60.0.1 port 45481 connected with 10.0.1.24 port 5001 (ct=2127.68 ms)
16:35:16.681627 [ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
16:35:17.137143 [  3] 0.4449-0.4499 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/17781 us  36.00
16:35:17.137212 [  3] 0.4499-0.4549 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       30K/17527 us  38.81
16:35:17.137225 [  3] 0.4549-0.4599 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/17527 us  36.52
16:35:17.137233 [  3] 0.4599-0.4649 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       30K/17527 us  38.81
16:35:17.158196 [  3] 0.4649-0.4699 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/17527 us  36.52
16:35:17.158310 [  3] 0.4699-0.4749 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/17705 us  36.16
16:35:17.158339 [  3] 0.4749-0.4799 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       30K/17705 us  38.41
16:35:17.158348 [  3] 0.4799-0.4849 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/17705 us  36.16
16:35:17.178602 [  3] 0.4849-0.4899 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       30K/17705 us  38.41
16:35:17.178677 [  3] 0.4899-0.4949 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/18268 us  35.04
16:35:17.178688 [  3] 0.4949-0.4999 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/18268 us  35.04
16:35:17.178696 [  3] 0.4999-0.5049 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       30K/18268 us  37.23
16:35:17.200130 [  3] 0.5049-0.5099 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/18268 us  35.04
16:35:17.200194 [  3] 0.5099-0.5149 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/18120 us  35.33
16:35:17.200205 [  3] 0.5149-0.5199 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       30K/18120 us  37.54
16:35:17.200213 [  3] 0.5199-0.5249 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/18120 us  35.33
16:35:17.221510 [  3] 0.5249-0.5299 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       30K/18120 us  37.54
16:35:17.221591 [  3] 0.5299-0.5349 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/17856 us  35.85
16:35:17.221603 [  3] 0.5349-0.5399 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/17856 us  35.85
16:35:17.221611 [  3] 0.5399-0.5449 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       30K/17856 us  38.09
16:35:17.221620 [  3] 0.5449-0.5499 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       30K/17856 us  35.85
