------------------------------------------------------------
Server listening on UDP port 5001 with pid 130192
Binding to local address 10.0.1.24
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.0.1.24 port 5001 connected with 10.60.0.1 port 49678
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  3] 0.2999-0.3049 sec  3.12 KBytes  5.12 Mbits/sec   0.343 ms    0/   16 (0%)  8.481/ 7.326/ 9.002/ 0.464 ms 2503 pps  75.48
[  3] 0.3049-0.3099 sec  2.93 KBytes  4.80 Mbits/sec   0.344 ms    0/   15 (0%)  8.458/ 6.674/ 8.851/ 0.689 ms 3588 pps  70.95
[  3] 0.3099-0.3149 sec  3.12 KBytes  5.12 Mbits/sec   0.367 ms    0/   16 (0%)  8.290/ 6.838/ 8.879/ 0.723 ms 3914 pps  77.22
[  3] 0.3149-0.3199 sec  4.30 KBytes  7.04 Mbits/sec   0.329 ms    0/   22 (0%)  7.687/ 6.383/ 8.512/ 0.548 ms 3357 pps  114.51
[  3] 0.3199-0.3249 sec  2.54 KBytes  4.16 Mbits/sec   0.404 ms    0/   13 (0%)  8.121/ 6.688/ 8.512/ 0.594 ms 3305 pps  64.04
[  3] 0.3249-0.3299 sec  3.71 KBytes  6.08 Mbits/sec   0.320 ms    0/   19 (0%)  7.984/ 6.656/ 7.902/ 0.367 ms 3251 pps  95.21
[  3] 0.3299-0.3349 sec  2.54 KBytes  4.16 Mbits/sec   0.265 ms    0/   13 (0%)  8.021/ 6.699/ 8.101/ 0.551 ms 3151 pps  64.84
[  3] 0.3349-0.3399 sec  3.71 KBytes  6.08 Mbits/sec   0.366 ms    0/   19 (0%)  7.744/ 6.258/ 8.118/ 0.563 ms 3363 pps  98.16
[  3] 0.3399-0.3449 sec  3.71 KBytes  6.08 Mbits/sec   0.311 ms    0/   19 (0%)  7.905/ 6.524/ 8.433/ 0.641 ms 3543 pps  96.16
[  3] 0.3449-0.3499 sec  2.15 KBytes  3.52 Mbits/sec   0.253 ms    0/   11 (0%)  8.077/ 6.924/ 7.913/ 0.226 ms 2818 pps  54.48
[  3] 0.3499-0.3549 sec  3.71 KBytes  6.08 Mbits/sec   0.241 ms    0/   19 (0%)  8.047/ 6.923/ 7.926/ 0.427 ms 3266 pps  94.47
[  3] 0.3549-0.3599 sec  2.73 KBytes  4.48 Mbits/sec   0.121 ms    0/   14 (0%)  8.423/ 7.745/ 7.918/ 0.047 ms 3564 pps  66.50
[  3] 0.3599-0.3649 sec  2.34 KBytes  3.84 Mbits/sec   0.292 ms    0/   12 (0%)  8.674/ 7.081/ 8.872/ 0.711 ms 2482 pps  55.35
