16:31:22.568712 ------------------------------------------------------------
16:31:22.568911 Client connecting to 10.0.1.24, TCP port 5001 with pid 141051
16:31:22.568953 Binding to local address 10.60.0.1
16:31:22.568984 Write buffer size:  200 Byte
16:31:22.569010 TCP window size: 85.0 KByte (default)
16:31:22.569036 ------------------------------------------------------------
16:31:22.569064 [  3] local 10.60.0.1 port 49115 connected with 10.0.1.24 port 5001 (ct=16.34 ms)
16:31:22.569113 [ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
16:31:23.043806 [  3] 0.4749-0.4799 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17078 us  37.48
16:31:23.043814 [  3] 0.4799-0.4849 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17078 us  37.48
16:31:23.064623 [  3] 0.4849-0.4899 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17245 us  39.44
16:31:23.064685 [  3] 0.4899-0.4949 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17245 us  37.12
16:31:23.064707 [  3] 0.4949-0.4999 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17245 us  39.44
16:31:23.064715 [  3] 0.4999-0.5049 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17245 us  37.12
16:31:23.085842 [  3] 0.5049-0.5099 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17245 us  37.12
16:31:23.085921 [  3] 0.5099-0.5149 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/16833 us  40.40
16:31:23.085933 [  3] 0.5149-0.5199 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/16833 us  38.03
16:31:23.085942 [  3] 0.5199-0.5249 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/16833 us  38.03
16:31:23.107268 [  3] 0.5249-0.5299 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/16833 us  40.40
16:31:23.107408 [  3] 0.5299-0.5349 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17119 us  37.39
16:31:23.107423 [  3] 0.5349-0.5399 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17119 us  39.73
16:31:23.107430 [  3] 0.5399-0.5449 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17119 us  37.39
16:31:23.128132 [  3] 0.5449-0.5499 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17119 us  37.39
16:31:23.128209 [  3] 0.5499-0.5549 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17107 us  39.76
16:31:23.128237 [  3] 0.5549-0.5599 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17107 us  37.42
16:31:23.128247 [  3] 0.5599-0.5649 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17107 us  37.42
16:31:23.148377 [  3] 0.5649-0.5699 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17107 us  39.76
16:31:23.148517 [  3] 0.5699-0.5749 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17681 us  36.20
16:31:23.148528 [  3] 0.5749-0.5799 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/17681 us  38.47
16:31:23.148538 [  3] 0.5799-0.5849 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17681 us  36.20
16:31:23.169047 [  3] 0.5849-0.5899 sec  3.12 KBytes  5.12 Mbits/sec  16/0          0       35K/17681 us  36.20
16:31:23.169148 [  3] 0.5899-0.5949 sec  3.32 KBytes  5.44 Mbits/sec  17/0          0       35K/16656 us  40.83
