16:41:18.135719 ------------------------------------------------------------
16:41:18.135814 Client connecting to 10.0.1.24, UDP port 5001 with pid 143935
16:41:18.135825 Binding to local address 10.60.0.1
16:41:18.135834 Sending 200 byte datagrams, IPG target: 305.18 us (kalman adjust)
16:41:18.135952 UDP buffer size:  208 KByte (default)
16:41:18.135964 ------------------------------------------------------------
16:41:18.135973 [  3] local 10.60.0.1 port 34998 connected with 10.0.1.24 port 5001
16:41:18.135981 [ ID] Interval            Transfer     Bandwidth      Write/Err  PPS
16:41:18.813709 [  3] 0.6749-0.6799 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3484 pps
16:41:18.813737 [  3] 0.6799-0.6849 sec  2.93 KBytes  4.80 Mbits/sec  15/0     2864 pps
16:41:18.813755 [  3] 0.6849-0.6899 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3282 pps
16:41:18.813773 [  3] 0.6899-0.6949 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3450 pps
16:41:18.833308 [  3] 0.6949-0.6999 sec  3.52 KBytes  5.76 Mbits/sec  18/0     3545 pps
16:41:18.833417 [  3] 0.6999-0.7049 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3265 pps
16:41:18.833430 [  3] 0.7049-0.7099 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3246 pps
16:41:18.833448 [  3] 0.7099-0.7149 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3285 pps
16:41:18.854254 [  3] 0.7149-0.7199 sec  2.93 KBytes  4.80 Mbits/sec  15/0     2895 pps
16:41:18.854346 [  3] 0.7199-0.7249 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3279 pps
16:41:18.854361 [  3] 0.7249-0.7299 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3298 pps
16:41:18.854369 [  3] 0.7299-0.7349 sec  3.71 KBytes  6.08 Mbits/sec  19/0     3250 pps
16:41:18.875673 [  3] 0.7349-0.7399 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3293 pps
16:41:18.875769 [  3] 0.7399-0.7449 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3290 pps
16:41:18.875784 [  3] 0.7449-0.7499 sec  3.12 KBytes  5.12 Mbits/sec  16/0     3279 pps
16:41:18.875794 [  3] 0.7499-0.7548 sec  3.32 KBytes  5.44 Mbits/sec  17/0     3481 pps
16:41:18.896206 [  3] 0.7548-0.7598 sec  2.93 KBytes  4.80 Mbits/sec  15/0     3072 pps
