20:55:01.998425 Connecting to host 10.0.1.24, port 5201
20:55:01.998547 [  5] local 10.60.0.1 port 56145 connected to 10.0.1.24 port 5201
20:55:01.998560 [ ID] Interval           Transfer     Bitrate         Retr  Cwnd
20:55:09.404215 [  5]   7.40-7.51   sec  0.00 Bytes  0.00 bits/sec    0    112 KBytes       
20:55:09.498735 [  5]   7.51-7.60   sec   128 KBytes  11.1 Mbits/sec    0    117 KBytes       
20:55:09.612275 [  5]   7.60-7.71   sec  0.00 Bytes  0.00 bits/sec    0    117 KBytes       
20:55:09.699385 [  5]   7.71-7.80   sec   128 KBytes  12.0 Mbits/sec    0    124 KBytes       
20:55:09.798440 [  5]   7.80-7.90   sec  0.00 Bytes  0.00 bits/sec    0    124 KBytes       
20:55:09.898483 [  5]   7.90-8.00   sec   128 KBytes  10.5 Mbits/sec    0    131 KBytes       
20:55:09.998687 [  5]   8.00-8.10   sec  0.00 Bytes  0.00 bits/sec    0    131 KBytes       
20:55:10.099185 [  5]   8.10-8.20   sec   128 KBytes  10.4 Mbits/sec    0    131 KBytes       
20:55:10.199291 [  5]   8.20-8.30   sec  0.00 Bytes  0.00 bits/sec    0    131 KBytes       
20:55:10.299731 [  5]   8.30-8.40   sec   128 KBytes  10.4 Mbits/sec    0    131 KBytes       
20:55:10.399137 [  5]   8.40-8.50   sec  0.00 Bytes  0.00 bits/sec    0    131 KBytes       
20:55:10.502655 [  5]   8.50-8.60   sec   128 KBytes  10.1 Mbits/sec    0    105 KBytes       
20:55:10.599470 [  5]   8.60-8.70   sec  0.00 Bytes  0.00 bits/sec    0    105 KBytes       
20:55:10.699282 [  5]   8.70-8.80   sec   128 KBytes  10.5 Mbits/sec    0    112 KBytes       
20:55:10.798976 [  5]   8.80-8.90   sec  0.00 Bytes  0.00 bits/sec    0    112 KBytes       
20:55:10.898513 [  5]   8.90-9.00   sec   128 KBytes  10.5 Mbits/sec    0    117 KBytes       
20:55:10.998503 [  5]   9.00-9.10   sec  0.00 Bytes  0.00 bits/sec    0    117 KBytes       
20:55:11.098602 [  5]   9.10-9.20   sec   128 KBytes  10.5 Mbits/sec    0    117 KBytes       
20:55:11.198487 [  5]   9.20-9.30   sec  0.00 Bytes  0.00 bits/sec    0    124 KBytes       
20:55:11.298625 [  5]   9.30-9.40   sec  0.00 Bytes  0.00 bits/sec    0    124 KBytes       
20:55:11.398274 [  5]   9.40-9.50   sec   128 KBytes  10.5 Mbits/sec    0    131 KBytes       
20:55:11.498979 [  5]   9.50-9.60   sec  0.00 Bytes  0.00 bits/sec    0    131 KBytes       
20:55:11.598541 [  5]   9.60-9.70   sec   128 KBytes  10.5 Mbits/sec    0    131 KBytes       
20:55:11.699769 [  5]   9.70-9.80   sec  0.00 Bytes  0.00 bits/sec    0    131 KBytes       
20:55:11.799265 [  5]   9.80-9.90   sec   128 KBytes  10.5 Mbits/sec    0    131 KBytes       
20:55:11.898443 [  5]   9.90-10.00  sec  0.00 Bytes  0.00 bits/sec    0    131 KBytes       
20:55:11.999012 [  5]  10.00-10.10  sec   128 KBytes  10.4 Mbits/sec    0    105 KBytes       
20:55:12.099658 [  5]  10.10-10.20  sec  0.00 Bytes  0.00 bits/sec    0    105 KBytes       
20:55:12.199825 [  5]  10.20-10.30  sec   128 KBytes  10.5 Mbits/sec    0    112 KBytes       
20:55:12.298888 [  5]  10.30-10.40  sec  0.00 Bytes  0.00 bits/sec    0    112 KBytes       
20:55:12.398376 [  5]  10.40-10.50  sec   128 KBytes  10.5 Mbits/sec    0    117 KBytes       
20:55:12.498951 [  5]  10.50-10.60  sec  0.00 Bytes  0.00 bits/sec    0    117 KBytes       
20:55:12.598490 [  5]  10.60-10.70  sec   128 KBytes  10.5 Mbits/sec    0    124 KBytes       
20:55:12.698449 [  5]  10.70-10.80  sec  0.00 Bytes  0.00 bits/sec    0    124 KBytes       
20:55:12.798900 [  5]  10.80-10.90  sec   128 KBytes  10.4 Mbits/sec    0    131 KBytes       
20:55:12.898545 [  5]  10.90-11.00  sec  0.00 Bytes  0.00 bits/sec    0    131 KBytes       
